0.036,-75.642,-11.420,-1.784,-0.017,-0.712,-0.017,0.702
2.013,-73.955,-11.500,-1.760,-0.017,-0.712,-0.017,0.702
4.015,-48.412,-12.714,-1.398,-0.017,-0.712,-0.017,0.702
6.016,-20.819,-14.026,-1.006,-0.017,-0.712,-0.017,0.702
8.038,-13.779,-14.361,-0.906,-0.017,-0.712,-0.017,0.702
10.021,-11.553,-14.467,-0.874,-0.017,-0.712,-0.017,0.702
12.040,-10.177,-14.532,-0.855,-0.017,-0.712,-0.017,0.702
14.036,-8.818,-14.602,-0.835,-0.029,-0.714,-0.029,0.699
16.019,-8.198,-14.626,-1.597,-0.087,-0.875,-0.172,0.444
18.025,-7.647,-14.122,-3.202,-0.049,-0.949,-0.249,0.187
20.001,-6.215,-13.053,-5.292,-0.023,-0.954,-0.289,0.075
22.019,-2.440,-6.391,-9.712,-0.054,0.940,0.283,0.180
24.014,6.259,2.001,-11.407,-0.106,0.894,0.291,0.324
26.031,13.126,4.243,-7.785,-0.094,0.827,0.146,0.534
28.030,14.168,11.009,-0.525,-0.212,0.653,0.197,0.700
30.028,12.627,11.652,5.727,-0.267,0.472,0.153,0.826
32.010,10.147,19.437,23.145,-0.259,0.253,0.070,0.930
34.003,-9.348,12.664,35.396,-0.114,-0.260,-0.031,0.958
36.024,-33.593,8.173,35.477,-0.022,-0.436,-0.011,0.900
38.007,-44.345,25.436,22.519,-0.083,-0.589,-0.061,0.802
40.008,-46.525,41.968,5.237,-0.159,-0.674,-0.153,0.705
42.035,-44.841,41.968,-12.267,-0.138,-0.781,-0.185,0.581
44.004,-37.802,42.338,-25.756,-0.143,-0.855,-0.326,0.377
46.016,-6.013,96.547,-65.345,-0.030,-0.903,-0.424,0.064
48.007,45.654,110.704,-60.240,-0.138,0.860,0.378,0.314
50.020,75.694,110.704,-18.014,-0.250,0.696,0.286,0.609
52.019,45.945,83.954,30.222,-0.334,0.450,0.186,0.807
54.031,-8.435,41.838,34.127,-0.383,-0.185,-0.078,0.902
56.006,-22.304,29.813,22.060,-0.336,-0.387,-0.154,0.845
58.008,-23.482,25.027,18.398,-0.286,-0.423,-0.143,0.848
60.020,-23.970,24.204,17.736,-0.282,-0.431,-0.144,0.845
62.003,-24.077,24.022,17.588,-0.285,-0.437,-0.148,0.840
